,Unnamed: 0.1,Unnamed: 0,Show,EpId,Path,ClipId,PonavljanjeGlasova,PonavljanjeSlogova,PonavljanjeJednosloznihRijeci,ProduzavanjeGlasova,Blokada,PrekinutaRijec,Cluster,Schwa,Start,Stop,Unsure,PoorAudioQuality,Prolongation,Block,SoundRep,WordRep,DifficultToUnderstand,Interjection,NoStutteredWords,NaturalPause,Music,NoSpeech
15,15,15,HeStutters,0,clips/HeStutters/0/HeStutters_0_15.wav,15,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,49411840,49459840,0,0,0,0,0,0,0,0,3,0,0,0
16,16,16,HeStutters,0,clips/HeStutters/0/HeStutters_0_16.wav,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51492320,51540320,0,0,0,0,0,0,0,0,3,0,0,0
17,17,17,HeStutters,0,clips/HeStutters/0/HeStutters_0_17.wav,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6970880,7018880,0,0,0,0,0,0,0,0,3,1,0,0
18,18,18,HeStutters,0,clips/HeStutters/0/HeStutters_0_18.wav,18,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8215200,8263200,0,0,0,1,0,0,0,0,2,1,0,0
19,19,19,HeStutters,0,clips/HeStutters/0/HeStutters_0_19.wav,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9985280,10033280,0,0,1,0,0,0,0,0,2,0,0,0
20,20,20,HeStutters,0,clips/HeStutters/0/HeStutters_0_20.wav,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11197600,11245600,0,0,0,0,0,0,0,0,3,0,0,0
21,21,21,HeStutters,0,clips/HeStutters/0/HeStutters_0_21.wav,21,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12275840,12323840,0,0,0,0,0,0,1,0,3,0,0,0
22,22,22,HeStutters,0,clips/HeStutters/0/HeStutters_0_22.wav,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12315840,12363840,0,0,0,0,0,0,0,0,3,0,0,0
23,23,23,HeStutters,0,clips/HeStutters/0/HeStutters_0_23.wav,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12567200,12615200,0,0,0,0,0,0,1,0,3,0,0,0
24,24,24,HeStutters,0,clips/HeStutters/0/HeStutters_0_24.wav,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15001760,15049760,0,0,0,0,0,0,0,0,3,0,0,0
25,25,25,HeStutters,0,clips/HeStutters/0/HeStutters_0_25.wav,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16317280,16365280,0,0,1,0,0,0,0,0,2,0,0,0
26,26,26,HeStutters,0,clips/HeStutters/0/HeStutters_0_26.wav,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3562240,3610240,0,0,0,0,0,0,0,0,3,0,0,0
27,27,27,HeStutters,0,clips/HeStutters/0/HeStutters_0_27.wav,27,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,18732320,18780320,0,0,0,1,3,1,0,1,0,0,0,0
28,28,28,HeStutters,0,clips/HeStutters/0/HeStutters_0_28.wav,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18902240,18950240,0,0,1,0,0,0,0,0,2,0,0,0
29,29,29,HeStutters,0,clips/HeStutters/0/HeStutters_0_29.wav,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19004000,19052000,0,0,0,0,0,0,0,0,3,0,0,0
30,30,30,HeStutters,0,clips/HeStutters/0/HeStutters_0_30.wav,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19927520,19975520,0,1,0,0,0,0,2,0,3,0,0,0
31,31,31,HeStutters,0,clips/HeStutters/0/HeStutters_0_31.wav,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21092480,21140480,0,0,1,0,0,0,0,0,2,0,0,0
32,32,32,HeStutters,0,clips/HeStutters/0/HeStutters_0_32.wav,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21147520,21195520,0,0,0,0,0,0,0,0,3,0,0,0
33,33,33,HeStutters,0,clips/HeStutters/0/HeStutters_0_33.wav,33,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25293440,25341440,0,0,2,1,0,0,0,0,1,0,0,0
34,34,34,HeStutters,0,clips/HeStutters/0/HeStutters_0_34.wav,34,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25822720,25870720,0,0,0,0,0,0,0,0,3,0,0,0
35,35,35,HeStutters,0,clips/HeStutters/0/HeStutters_0_35.wav,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26746400,26794400,0,0,0,0,0,0,0,0,3,0,0,0
36,36,36,HeStutters,0,clips/HeStutters/0/HeStutters_0_36.wav,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27774880,27822880,0,0,0,0,0,0,0,0,3,0,0,0
37,37,37,HeStutters,0,clips/HeStutters/0/HeStutters_0_37.wav,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27813440,27861440,0,0,1,0,0,0,0,1,2,0,0,0
38,38,38,HeStutters,0,clips/HeStutters/0/HeStutters_0_38.wav,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29565600,29613600,0,0,1,0,0,0,0,0,2,0,0,0
39,39,39,HeStutters,0,clips/HeStutters/0/HeStutters_0_39.wav,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30011200,30059200,0,0,0,1,0,0,0,0,2,0,0,0
40,40,40,HeStutters,1,clips/HeStutters/1/HeStutters_1_0.wav,0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2152480,2200480,0,0,0,1,2,0,1,0,0,0,0,0
41,41,41,HeStutters,1,clips/HeStutters/1/HeStutters_1_1.wav,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27906400,27954400,0,0,0,0,0,1,0,1,2,0,0,0
42,42,42,HeStutters,1,clips/HeStutters/1/HeStutters_1_2.wav,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28160960,28208960,0,0,1,0,0,0,0,0,2,1,0,0
43,43,43,HeStutters,1,clips/HeStutters/1/HeStutters_1_3.wav,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28193760,28241760,0,0,0,1,0,0,0,3,2,1,0,0
44,44,44,HeStutters,1,clips/HeStutters/1/HeStutters_1_4.wav,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28351360,28399360,0,0,0,0,0,0,0,0,3,0,0,0
45,45,45,HeStutters,1,clips/HeStutters/1/HeStutters_1_5.wav,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28390400,28438400,0,0,0,0,0,3,0,1,0,0,0,0
46,46,46,HeStutters,1,clips/HeStutters/1/HeStutters_1_6.wav,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28443200,28491200,0,0,0,0,0,1,0,0,2,1,0,0
47,47,47,HeStutters,1,clips/HeStutters/1/HeStutters_1_7.wav,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,28506080,28554080,0,0,0,0,0,3,1,0,0,1,0,0
48,48,48,HeStutters,1,clips/HeStutters/1/HeStutters_1_8.wav,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28539840,28587840,0,0,0,0,0,2,0,0,1,0,0,0
49,49,49,HeStutters,1,clips/HeStutters/1/HeStutters_1_9.wav,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29043360,29091360,0,0,0,1,0,0,0,0,2,0,0,0
50,50,50,HeStutters,1,clips/HeStutters/1/HeStutters_1_10.wav,10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29077440,29125440,0,0,0,2,0,1,1,0,0,0,0,0
51,51,53,HeStutters,1,clips/HeStutters/1/HeStutters_1_13.wav,13,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,29497920,29545920,0,0,0,1,0,1,0,0,1,1,0,0
52,52,54,HeStutters,1,clips/HeStutters/1/HeStutters_1_14.wav,14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29571040,29619040,0,0,3,0,0,0,0,3,0,0,0,0
53,53,55,HeStutters,1,clips/HeStutters/1/HeStutters_1_15.wav,15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,30017440,30065440,0,0,3,0,1,0,0,1,0,0,0,0
54,54,56,HeStutters,1,clips/HeStutters/1/HeStutters_1_16.wav,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30052800,30100800,0,0,0,1,0,0,0,0,2,0,0,0
55,55,57,HeStutters,1,clips/HeStutters/1/HeStutters_1_17.wav,17,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5026880,5074880,0,0,0,2,1,0,1,0,0,1,0,0
56,56,58,HeStutters,1,clips/HeStutters/1/HeStutters_1_18.wav,18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5063040,5111040,0,1,1,1,1,0,3,0,1,0,0,0
57,57,59,HeStutters,1,clips/HeStutters/1/HeStutters_1_19.wav,19,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,30230560,30278560,0,1,0,0,0,0,0,0,3,0,0,0
58,58,60,HeStutters,1,clips/HeStutters/1/HeStutters_1_20.wav,20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30284320,30332320,0,0,0,0,1,3,0,1,0,0,0,0
59,59,62,HeStutters,1,clips/HeStutters/1/HeStutters_1_22.wav,22,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,30745440,30793440,0,0,1,1,0,0,0,0,2,1,0,0
60,60,63,HeStutters,1,clips/HeStutters/1/HeStutters_1_23.wav,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30771360,30819360,0,0,1,0,0,0,0,0,2,0,0,0
61,61,65,HeStutters,1,clips/HeStutters/1/HeStutters_1_25.wav,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30925120,30973120,0,0,1,0,0,0,0,0,1,0,0,0
62,62,70,HeStutters,1,clips/HeStutters/1/HeStutters_1_30.wav,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31286560,31334560,0,0,0,1,0,0,1,0,2,0,0,0
63,63,71,HeStutters,1,clips/HeStutters/1/HeStutters_1_31.wav,31,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,31628960,31676960,0,0,1,1,0,0,1,0,1,0,0,0
64,64,72,HeStutters,1,clips/HeStutters/1/HeStutters_1_32.wav,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31661920,31709920,0,0,3,0,0,0,0,3,0,0,0,0
65,65,73,HeStutters,1,clips/HeStutters/1/HeStutters_1_33.wav,33,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,31802080,31850080,0,0,0,1,3,0,0,0,0,0,0,0
66,66,74,HeStutters,1,clips/HeStutters/1/HeStutters_1_34.wav,34,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,31838240,31886240,0,0,0,0,1,1,1,1,1,0,0,0
67,67,75,HeStutters,1,clips/HeStutters/1/HeStutters_1_35.wav,35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31881600,31929600,0,0,1,1,2,0,1,0,0,0,0,0
68,68,76,HeStutters,1,clips/HeStutters/1/HeStutters_1_36.wav,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31917440,31965440,0,0,0,1,0,0,0,3,2,0,0,0
69,69,77,HeStutters,1,clips/HeStutters/1/HeStutters_1_37.wav,37,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5095680,5143680,0,0,0,2,3,0,1,1,0,0,0,0
70,70,78,HeStutters,1,clips/HeStutters/1/HeStutters_1_38.wav,38,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,31963680,32011680,0,0,0,1,0,0,0,0,2,0,0,0
71,71,79,HeStutters,1,clips/HeStutters/1/HeStutters_1_39.wav,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32034720,32082720,0,0,0,1,1,0,0,2,1,1,0,0
72,72,80,HeStutters,1,clips/HeStutters/1/HeStutters_1_40.wav,40,0.0,0.0,0.0,1.0,1.0,,1.0,0.0,32086560,32134560,0,0,2,1,0,0,2,0,0,0,0,0
73,73,81,HeStutters,1,clips/HeStutters/1/HeStutters_1_41.wav,41,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32346240,32394240,0,1,2,1,0,0,0,1,1,0,0,0
74,74,82,HeStutters,1,clips/HeStutters/1/HeStutters_1_42.wav,42,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,32392000,32440000,0,0,1,1,3,1,1,0,0,0,0,0
75,75,83,HeStutters,1,clips/HeStutters/1/HeStutters_1_43.wav,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32695840,32743840,0,0,0,1,0,0,0,3,2,2,0,0
76,76,84,HeStutters,1,clips/HeStutters/1/HeStutters_1_44.wav,44,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,32728480,32776480,0,0,0,1,0,0,1,0,2,1,0,0
77,77,85,HeStutters,1,clips/HeStutters/1/HeStutters_1_45.wav,45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32800640,32848640,0,0,1,0,2,0,1,0,0,0,0,0
78,78,87,HeStutters,1,clips/HeStutters/1/HeStutters_1_47.wav,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33042240,33090240,0,1,0,1,0,0,2,1,2,0,0,0
79,79,89,HeStutters,1,clips/HeStutters/1/HeStutters_1_49.wav,49,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,33136160,33184160,0,0,0,2,2,0,0,0,0,0,0,0
80,80,90,HeStutters,1,clips/HeStutters/1/HeStutters_1_50.wav,50,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,33175200,33223200,0,0,0,1,2,0,0,1,1,2,0,0
81,81,91,HeStutters,1,clips/HeStutters/1/HeStutters_1_51.wav,51,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,33325280,33373280,0,0,0,1,0,3,0,0,0,0,0,0
82,82,92,HeStutters,1,clips/HeStutters/1/HeStutters_1_52.wav,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33372160,33420160,0,0,0,0,0,0,0,0,3,2,0,0
83,83,93,HeStutters,1,clips/HeStutters/1/HeStutters_1_53.wav,53,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,34068000,34116000,0,0,2,2,0,0,1,0,0,0,0,0
84,84,94,HeStutters,1,clips/HeStutters/1/HeStutters_1_54.wav,54,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,34100800,34148800,0,0,3,0,1,0,1,0,0,0,0,0
85,85,95,HeStutters,1,clips/HeStutters/1/HeStutters_1_55.wav,55,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,34145280,34193280,0,0,0,1,0,0,2,0,2,0,0,0
86,86,96,HeStutters,1,clips/HeStutters/1/HeStutters_1_56.wav,56,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,34184480,34232480,0,1,0,0,2,0,1,0,1,0,0,0
87,87,97,HeStutters,1,clips/HeStutters/1/HeStutters_1_57.wav,57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5247680,5295680,0,0,1,0,2,0,0,0,1,1,0,0
88,88,98,HeStutters,1,clips/HeStutters/1/HeStutters_1_58.wav,58,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5284000,5332000,0,0,0,0,0,1,1,0,2,1,0,0
89,89,99,HeStutters,1,clips/HeStutters/1/HeStutters_1_59.wav,59,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34259040,34307040,0,0,1,0,0,0,0,2,2,0,0,0
90,90,100,HeStutters,1,clips/HeStutters/1/HeStutters_1_60.wav,60,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,34295840,34343840,0,0,1,1,2,0,1,0,0,0,0,0
91,91,101,HeStutters,1,clips/HeStutters/1/HeStutters_1_61.wav,61,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,34837280,34885280,0,0,0,1,3,0,1,2,0,0,0,0
92,92,103,HeStutters,1,clips/HeStutters/1/HeStutters_1_63.wav,63,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34995840,35043840,0,0,2,1,0,0,0,0,0,0,0,0
93,93,104,HeStutters,1,clips/HeStutters/1/HeStutters_1_64.wav,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35047520,35095520,0,0,0,0,0,0,0,0,3,0,0,1
94,94,105,HeStutters,1,clips/HeStutters/1/HeStutters_1_65.wav,65,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,35435840,35483840,0,0,0,2,1,3,0,0,0,0,0,0
95,95,106,HeStutters,1,clips/HeStutters/1/HeStutters_1_66.wav,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35470560,35518560,0,0,1,0,0,0,0,0,2,0,0,0
96,96,107,HeStutters,1,clips/HeStutters/1/HeStutters_1_67.wav,67,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,35897120,35945120,0,0,0,1,2,0,0,1,0,0,0,0
97,97,108,HeStutters,1,clips/HeStutters/1/HeStutters_1_68.wav,68,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,35930720,35978720,0,1,0,1,0,0,1,0,2,0,0,0
98,98,109,HeStutters,1,clips/HeStutters/1/HeStutters_1_69.wav,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36596000,36644000,0,0,1,1,0,0,1,2,2,1,0,0
99,99,110,HeStutters,1,clips/HeStutters/1/HeStutters_1_70.wav,70,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,36630240,36678240,0,0,0,2,2,0,0,3,0,0,0,0
100,100,111,HeStutters,1,clips/HeStutters/1/HeStutters_1_71.wav,71,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,37078240,37126240,0,0,0,0,0,3,1,0,0,0,0,0
101,101,112,HeStutters,1,clips/HeStutters/1/HeStutters_1_72.wav,72,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37112320,37160320,0,0,3,2,0,0,2,0,0,0,0,0
102,102,113,HeStutters,1,clips/HeStutters/1/HeStutters_1_73.wav,73,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37220480,37268480,0,0,0,1,0,1,1,0,1,0,0,0
103,103,114,HeStutters,1,clips/HeStutters/1/HeStutters_1_74.wav,74,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,37266560,37314560,0,0,1,2,1,0,3,1,0,0,0,0
104,104,115,HeStutters,1,clips/HeStutters/1/HeStutters_1_75.wav,75,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,37930720,37978720,0,0,0,3,2,0,0,0,0,0,0,0
105,105,116,HeStutters,1,clips/HeStutters/1/HeStutters_1_76.wav,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37967840,38015840,0,0,0,1,0,0,1,3,2,0,0,0
106,106,117,HeStutters,1,clips/HeStutters/1/HeStutters_1_77.wav,77,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,38740320,38788320,0,0,0,2,1,0,0,0,0,0,0,0
107,107,118,HeStutters,1,clips/HeStutters/1/HeStutters_1_78.wav,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38775520,38823520,0,0,0,1,0,0,0,0,2,1,0,0
108,108,119,HeStutters,1,clips/HeStutters/1/HeStutters_1_79.wav,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5950880,5998880,0,0,0,1,0,0,1,1,2,2,0,0
109,109,120,HeStutters,1,clips/HeStutters/1/HeStutters_1_80.wav,80,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6016640,6064640,0,0,0,1,0,3,0,1,0,0,0,0
110,110,121,HeStutters,1,clips/HeStutters/1/HeStutters_1_81.wav,81,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38885920,38933920,0,0,1,1,1,0,1,1,0,0,0,0
111,111,122,HeStutters,1,clips/HeStutters/1/HeStutters_1_82.wav,82,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,38922880,38970880,0,0,2,2,2,0,0,0,0,0,0,0
112,112,123,HeStutters,1,clips/HeStutters/1/HeStutters_1_83.wav,83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38993440,39041440,0,2,1,0,0,0,0,0,2,0,0,0
113,113,125,HeStutters,1,clips/HeStutters/1/HeStutters_1_85.wav,85,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,39087040,39135040,0,0,0,0,0,3,0,1,0,0,0,0
114,114,126,HeStutters,1,clips/HeStutters/1/HeStutters_1_86.wav,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39507680,39555680,0,0,2,0,0,0,0,0,1,1,0,0
115,115,127,HeStutters,1,clips/HeStutters/1/HeStutters_1_87.wav,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39564320,39612320,0,0,0,2,0,0,0,0,1,1,0,0
116,116,128,HeStutters,1,clips/HeStutters/1/HeStutters_1_88.wav,88,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39631040,39679040,0,0,0,0,2,0,0,1,1,0,0,0
117,117,129,HeStutters,1,clips/HeStutters/1/HeStutters_1_89.wav,89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39713600,39761600,0,0,1,0,0,0,1,0,2,1,0,1
118,118,130,HeStutters,1,clips/HeStutters/1/HeStutters_1_90.wav,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39763040,39811040,1,1,1,0,0,0,2,1,1,0,0,0
119,119,131,HeStutters,1,clips/HeStutters/1/HeStutters_1_91.wav,91,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,39817440,39865440,0,0,2,0,1,0,0,0,0,0,0,0
120,120,132,HeStutters,1,clips/HeStutters/1/HeStutters_1_92.wav,92,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39910240,39958240,0,0,0,1,1,0,1,0,1,0,0,0
121,121,133,HeStutters,1,clips/HeStutters/1/HeStutters_1_93.wav,93,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39942720,39990720,0,0,0,0,0,0,1,1,3,1,0,0
122,122,134,HeStutters,1,clips/HeStutters/1/HeStutters_1_94.wav,94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39987680,40035680,0,0,0,0,0,0,1,0,3,0,0,0
123,123,135,HeStutters,1,clips/HeStutters/1/HeStutters_1_95.wav,95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40041440,40089440,0,0,0,0,0,0,1,0,3,0,0,0
124,124,136,HeStutters,1,clips/HeStutters/1/HeStutters_1_96.wav,96,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6270720,6318720,0,0,0,1,2,0,0,0,0,0,0,0
125,125,137,HeStutters,1,clips/HeStutters/1/HeStutters_1_97.wav,97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6303360,6351360,0,0,1,0,0,0,1,0,2,0,0,0
126,126,138,HeStutters,1,clips/HeStutters/1/HeStutters_1_98.wav,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40073280,40121280,0,0,0,0,0,3,0,0,0,0,0,0
127,127,139,HeStutters,1,clips/HeStutters/1/HeStutters_1_99.wav,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40635200,40683200,0,0,1,0,0,0,0,1,2,1,0,0
128,128,140,HeStutters,1,clips/HeStutters/1/HeStutters_1_100.wav,100,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,40669920,40717920,0,0,0,0,2,2,0,0,0,0,0,0
129,129,141,HeStutters,1,clips/HeStutters/1/HeStutters_1_101.wav,101,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,40904160,40952160,0,0,2,1,0,0,0,1,0,0,0,0
